Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Letícia Ribeiro,Acessórios,1248.2,630.91,0.58,0.52,2017-04-04
Enzo Nascimento,Casa,539.73,3795.02,0.18,0.28,2017-04-04
Guilherme Santos,Casa,6920.3,1905.19,0.42,0.24,2017-04-04
Vitória Ribeiro,Brinquedo,202.46,3360.27,0.17,0.27,2017-04-04
Julia Araújo,Esportes,6361.34,3032.5,0.44,0.34,2017-04-04
Lucas Rodrigues,Esportes,2950.62,1475.44,0.47,0.26,2017-04-04
Thiago Carvalho,Esportes,3197.86,2918.25,0.47,0.3,2017-04-04
Mateus Barbosa,Eletrônicos,1786.51,1612.72,0.1,0.18,2017-04-04
Camila Carvalho,Casa,1228.89,2473.32,0.14,0.25,2017-04-04
Diego Cardoso,Vestuário,2069.36,1356.81,0.2,0.16,2017-04-04
Jorge Santos,Brinquedo,246.72,1175.51,0.22,0.23,2017-04-04
Raphael Silva,Papelaria,465.85,394.53,0.38,0.5,2017-04-04
Caroline Reis,Papelaria,150.64,321.54,0.59,0.47,2017-04-04
Letícia Nascimento,Eletrônicos,3314.51,3908.6,0.18,0.17,2017-04-05
Ana Sousa,Eletrônicos,512.89,2873.36,0.18,0.2,2017-04-05
Gustavo Martins,Eletrônicos,2760.56,2041.46,0.3,0.18,2017-04-05
Beatriz Santos,Vestuário,4772.48,2722.76,0.12,0.18,2017-04-05
Camila Lima,Vestuário,3906.14,1722.46,0.15,0.15,2017-04-05
Thiago Barbosa,Acessórios,1413.32,644.15,0.78,0.48,2017-04-05
Letícia Ribeiro,Acessórios,2168.27,1338.43,0.52,0.48,2017-04-05
Enzo Nascimento,Casa,7030.88,3297.32,0.11,0.28,2017-04-05
Guilherme Santos,Casa,6410.05,2614.85,0.43,0.22,2017-04-05
Vitória Ribeiro,Brinquedo,5140.94,2446.56,0.28,0.28,2017-04-05
Julia Araújo,Esportes,2798.68,2670.53,0.38,0.34,2017-04-05
Lucas Rodrigues,Esportes,3712.5,1477.39,0.42,0.34,2017-04-05
Thiago Carvalho,Esportes,2240.49,2841.68,0.18,0.27,2017-04-05
Mateus Barbosa,Eletrônicos,3725.99,2206.04,0.18,0.21,2017-04-05
Camila Carvalho,Casa,7378.07,2736.87,0.33,0.25,2017-04-05
Diego Cardoso,Vestuário,1360.21,2932.27,0.17,0.15,2017-04-05
Jorge Santos,Brinquedo,5408.32,2024.89,0.24,0.26,2017-04-05
Raphael Silva,Papelaria,37.14,615.11,0.52,0.36,2017-04-05
Caroline Reis,Papelaria,534.65,740.87,0.54,0.43,2017-04-05
Letícia Nascimento,Eletrônicos,5921.34,3731.88,0.26,0.2,2017-04-06
Ana Sousa,Eletrônicos,5221.74,3536.75,0.1,0.16,2017-04-06
Gustavo Martins,Eletrônicos,5511.9,3617.81,0.24,0.19,2017-04-06
Beatriz Santos,Vestuário,4040.12,3134.16,0.15,0.15,2017-04-06
Camila Lima,Vestuário,3822.32,2781.98,0.07,0.17,2017-04-06
Thiago Barbosa,Acessórios,2062.3,933.49,0.34,0.4,2017-04-06
Letícia Ribeiro,Acessórios,647.25,1505.68,0.42,0.42,2017-04-06
Enzo Nascimento,Casa,4777.63,2673.36,0.35,0.24,2017-04-06
Guilherme Santos,Casa,3873.2,2924.6,0.2,0.32,2017-04-06
Vitória Ribeiro,Brinquedo,3917.63,1627.26,0.16,0.28,2017-04-06
Julia Araújo,Esportes,2910.53,4692.68,0.35,0.33,2017-04-06
Lucas Rodrigues,Esportes,4003.53,3873.38,0.35,0.35,2017-04-06
Thiago Carvalho,Esportes,4097.29,1554.9,0.18,0.27,2017-04-06
Mateus Barbosa,Eletrônicos,1802.36,3251.65,0.14,0.2,2017-04-06
Camila Carvalho,Casa,6053.82,2205.77,0.33,0.33,2017-04-06
Diego Cardoso,Vestuário,3457.91,2338.94,0.13,0.18,2017-04-06
Jorge Santos,Brinquedo,2551.2,3813.67,0.29,0.29,2017-04-06
Raphael Silva,Papelaria,76.01,763.26,0.41,0.54,2017-04-06
Caroline Reis,Papelaria,315.96,608.1,0.43,0.43,2017-04-06
Letícia Nascimento,Eletrônicos,5038.46,4381.69,0.14,0.18,2017-04-07
Ana Sousa,Eletrônicos,2842.01,2815.9,0.08,0.18,2017-04-07
Gustavo Martins,Eletrônicos,650.12,3258.55,0.09,0.22,2017-04-07
Beatriz Santos,Vestuário,4843.55,2044.31,0.08,0.15,2017-04-07
Camila Lima,Vestuário,889.38,1739.18,0.2,0.15,2017-04-07
Thiago Barbosa,Acessórios,1076.73,1369.67,0.56,0.52,2017-04-07
Letícia Ribeiro,Acessórios,762.09,700.49,0.26,0.44,2017-04-07
Enzo Nascimento,Casa,2716.46,1628.62,0.22,0.31,2017-04-07
Guilherme Santos,Casa,7273.22,4658.15,0.32,0.31,2017-04-07
Vitória Ribeiro,Brinquedo,3476.88,2736.8,0.13,0.21,2017-04-07
Julia Araújo,Esportes,364.08,2521.79,0.45,0.27,2017-04-07
Lucas Rodrigues,Esportes,1025.3,4884.56,0.3,0.3,2017-04-07
Thiago Carvalho,Esportes,4525.82,1556.58,0.39,0.34,2017-04-07
Mateus Barbosa,Eletrônicos,2031.06,2573.24,0.1,0.22,2017-04-07
Camila Carvalho,Casa,1902.32,3918.22,0.33,0.22,2017-04-07
Diego Cardoso,Vestuário,1955.85,3046.94,0.25,0.18,2017-04-07
Jorge Santos,Brinquedo,1933.93,3812.75,0.33,0.25,2017-04-07
Raphael Silva,Papelaria,374.45,315.49,0.23,0.47,2017-04-07
Caroline Reis,Papelaria,92.95,673.65,0.29,0.47,2017-04-07
Letícia Nascimento,Eletrônicos,4250.11,2122.63,0.18,0.22,2017-04-08
Ana Sousa,Eletrônicos,3001.16,2075.35,0.27,0.17,2017-04-08
Gustavo Martins,Eletrônicos,2139.6,2769.05,0.31,0.22,2017-04-08
Beatriz Santos,Vestuário,1602.38,3290.1,0.23,0.15,2017-04-08
Camila Lima,Vestuário,1590.16,1825.83,0.15,0.14,2017-04-08
Thiago Barbosa,Acessórios,1306.71,1213.96,0.24,0.5,2017-04-08
Letícia Ribeiro,Acessórios,1843.98,1430.44,0.46,0.44,2017-04-08
Enzo Nascimento,Casa,1654.81,5215.7,0.37,0.25,2017-04-08
Guilherme Santos,Casa,5189.02,4318.08,0.43,0.29,2017-04-08
Vitória Ribeiro,Brinquedo,1888.19,2735.23,0.39,0.26,2017-04-08
Julia Araújo,Esportes,3069.23,1932.89,0.31,0.36,2017-04-08
Lucas Rodrigues,Esportes,426.19,2155.69,0.13,0.29,2017-04-08
Thiago Carvalho,Esportes,1746.52,3733.29,0.22,0.35,2017-04-08
Mateus Barbosa,Eletrônicos,6292.78,2393.46,0.26,0.18,2017-04-08
Camila Carvalho,Casa,1532.89,5557.48,0.23,0.23,2017-04-08
Diego Cardoso,Vestuário,235.88,1211.01,0.13,0.15,2017-04-08
Jorge Santos,Brinquedo,3262.71,3296.6,0.11,0.2,2017-04-08
Raphael Silva,Papelaria,233.65,304.49,0.67,0.49,2017-04-08
Caroline Reis,Papelaria,387.0,532.7,0.27,0.36,2017-04-08
Letícia Nascimento,Eletrônicos,5581.87,4478.34,0.09,0.22,2017-04-09
Ana Sousa,Eletrônicos,2575.42,4034.69,0.1,0.23,2017-04-09
Gustavo Martins,Eletrônicos,2096.87,2064.54,0.27,0.22,2017-04-09
Beatriz Santos,Vestuário,4664.04,3538.18,0.28,0.2,2017-04-09
Camila Lima,Vestuário,4358.96,1076.52,0.1,0.2,2017-04-09
Thiago Barbosa,Acessórios,1756.98,630.02,0.42,0.48,2017-04-09
Letícia Ribeiro,Acessórios,1335.03,1572.38,0.34,0.4,2017-04-09
Enzo Nascimento,Casa,4797.17,2194.23,0.29,0.31,2017-04-09
Guilherme Santos,Casa,2617.27,1623.69,0.37,0.32,2017-04-09
Vitória Ribeiro,Brinquedo,4698.11,3905.15,0.37,0.22,2017-04-09
Julia Araújo,Esportes,701.48,3135.6,0.39,0.27,2017-04-09
Lucas Rodrigues,Esportes,3700.46,4230.1,0.38,0.33,2017-04-09
Thiago Carvalho,Esportes,3630.08,3110.64,0.26,0.31,2017-04-09
Mateus Barbosa,Eletrônicos,4620.42,3776.34,0.2,0.18,2017-04-09
Camila Carvalho,Casa,3171.15,5268.98,0.31,0.22,2017-04-09
Diego Cardoso,Vestuário,1156.9,1448.1,0.25,0.17,2017-04-09
Jorge Santos,Brinquedo,1752.39,3666.13,0.27,0.29,2017-04-09
Raphael Silva,Papelaria,424.04,530.33,0.25,0.38,2017-04-09
Caroline Reis,Papelaria,500.07,410.94,0.5,0.45,2017-04-09
Letícia Nascimento,Eletrônicos,4144.9,2733.97,0.19,0.19,2017-04-10
Ana Sousa,Eletrônicos,5333.18,2341.27,0.17,0.18,2017-04-10
Gustavo Martins,Eletrônicos,1634.96,3523.27,0.17,0.17,2017-04-10
Beatriz Santos,Vestuário,4185.05,2284.53,0.2,0.2,2017-04-10
Camila Lima,Vestuário,4593.3,1165.71,0.08,0.14,2017-04-10
Thiago Barbosa,Acessórios,472.66,635.98,0.4,0.46,2017-04-10
Letícia Ribeiro,Acessórios,1801.62,1220.25,0.36,0.54,2017-04-10
Enzo Nascimento,Casa,7684.85,5593.31,0.36,0.3,2017-04-10
Guilherme Santos,Casa,7037.62,1435.84,0.21,0.31,2017-04-10
Vitória Ribeiro,Brinquedo,4328.89,2211.43,0.22,0.26,2017-04-10
Julia Araújo,Esportes,4730.27,3140.81,0.33,0.36,2017-04-10
Lucas Rodrigues,Esportes,1177.96,2850.28,0.22,0.35,2017-04-10
Thiago Carvalho,Esportes,3460.56,3311.72,0.44,0.36,2017-04-10
Mateus Barbosa,Eletrônicos,4801.87,2861.04,0.27,0.18,2017-04-10
Camila Carvalho,Casa,1560.12,4634.55,0.34,0.24,2017-04-10
Diego Cardoso,Vestuário,2276.86,2407.81,0.15,0.18,2017-04-10
Jorge Santos,Brinquedo,793.07,3830.06,0.1,0.28,2017-04-10
Raphael Silva,Papelaria,921.04,403.89,0.41,0.49,2017-04-10
Caroline Reis,Papelaria,455.64,667.19,0.47,0.41,2017-04-10
Letícia Nascimento,Eletrônicos,270.6,4027.28,0.3,0.18,2017-04-11
Ana Sousa,Eletrônicos,6293.09,2388.9,0.23,0.21,2017-04-11
Gustavo Martins,Eletrônicos,4058.78,4321.0,0.31,0.18,2017-04-11
Beatriz Santos,Vestuário,1988.5,2343.12,0.11,0.15,2017-04-11
Camila Lima,Vestuário,2857.84,2119.15,0.26,0.15,2017-04-11
Thiago Barbosa,Acessórios,265.32,1063.49,0.22,0.54,2017-04-11
Letícia Ribeiro,Acessórios,1095.4,624.03,0.24,0.6,2017-04-11
Enzo Nascimento,Casa,2285.67,2378.77,0.33,0.23,2017-04-11
Guilherme Santos,Casa,574.35,3577.84,0.17,0.32,2017-04-11
Vitória Ribeiro,Brinquedo,2318.65,1471.11,0.13,0.25,2017-04-11
Julia Araújo,Esportes,3487.33,1568.18,0.51,0.38,2017-04-11
Lucas Rodrigues,Esportes,1042.12,2102.14,0.3,0.35,2017-04-11
Thiago Carvalho,Esportes,3462.95,3654.47,0.49,0.34,2017-04-11
Mateus Barbosa,Eletrônicos,3376.04,3665.41,0.14,0.16,2017-04-11
Camila Carvalho,Casa,1218.76,1668.67,0.24,0.31,2017-04-11
Diego Cardoso,Vestuário,2645.67,3357.82,0.25,0.17,2017-04-11
Jorge Santos,Brinquedo,3211.12,3211.87,0.19,0.29,2017-04-11
Raphael Silva,Papelaria,512.81,620.19,0.56,0.41,2017-04-11
Caroline Reis,Papelaria,682.07,685.99,0.27,0.4,2017-04-11
Letícia Nascimento,Eletrônicos,5951.77,3839.68,0.19,0.23,2017-04-12
Ana Sousa,Eletrônicos,1308.72,3247.02,0.18,0.23,2017-04-12
Gustavo Martins,Eletrônicos,1673.22,4333.94,0.14,0.21,2017-04-12
Beatriz Santos,Vestuário,1508.58,3374.0,0.22,0.19,2017-04-12
Camila Lima,Vestuário,1145.86,2232.41,0.28,0.18,2017-04-12
Thiago Barbosa,Acessórios,2189.88,491.84,0.26,0.56,2017-04-12
Letícia Ribeiro,Acessórios,744.19,941.12,0.36,0.5,2017-04-12
Enzo Nascimento,Casa,3633.98,1707.43,0.34,0.3,2017-04-12
Guilherme Santos,Casa,3021.54,4533.02,0.4,0.26,2017-04-12
Vitória Ribeiro,Brinquedo,157.98,1344.05,0.38,0.23,2017-04-12
Julia Araújo,Esportes,5385.71,3190.56,0.16,0.33,2017-04-12
Lucas Rodrigues,Esportes,1830.91,5005.08,0.18,0.36,2017-04-12
Thiago Carvalho,Esportes,6037.77,1965.3,0.14,0.27,2017-04-12
Mateus Barbosa,Eletrônicos,2026.06,3124.75,0.18,0.17,2017-04-12
Camila Carvalho,Casa,5912.73,4245.01,0.17,0.26,2017-04-12
Diego Cardoso,Vestuário,1143.03,993.0,0.21,0.15,2017-04-12
Jorge Santos,Brinquedo,3862.41,3509.5,0.34,0.26,2017-04-12
Raphael Silva,Papelaria,793.72,738.21,0.4,0.41,2017-04-12
Caroline Reis,Papelaria,76.61,202.8,0.59,0.5,2017-04-12
Letícia Nascimento,Eletrônicos,6138.76,2548.72,0.14,0.17,2017-04-13
Ana Sousa,Eletrônicos,2852.51,4761.44,0.16,0.18,2017-04-13
Gustavo Martins,Eletrônicos,4454.8,1994.04,0.29,0.22,2017-04-13
Beatriz Santos,Vestuário,4125.99,1353.29,0.1,0.17,2017-04-13
Camila Lima,Vestuário,613.34,1783.28,0.19,0.15,2017-04-13
Thiago Barbosa,Acessórios,487.38,1050.04,0.76,0.42,2017-04-13
Letícia Ribeiro,Acessórios,501.76,827.89,0.3,0.48,2017-04-13
Enzo Nascimento,Casa,2530.78,3034.58,0.26,0.23,2017-04-13
Guilherme Santos,Casa,6302.04,4129.76,0.23,0.23,2017-04-13
Vitória Ribeiro,Brinquedo,1280.23,1904.6,0.28,0.3,2017-04-13
Julia Araújo,Esportes,844.73,3391.1,0.52,0.38,2017-04-13
Lucas Rodrigues,Esportes,1333.64,5040.23,0.36,0.39,2017-04-13
Thiago Carvalho,Esportes,5018.13,3943.81,0.51,0.35,2017-04-13
Mateus Barbosa,Eletrônicos,2271.66,3487.27,0.3,0.18,2017-04-13
Camila Carvalho,Casa,6577.75,3424.95,0.22,0.29,2017-04-13
Diego Cardoso,Vestuário,2933.28,1932.4,0.2,0.15,2017-04-13
Jorge Santos,Brinquedo,3272.33,3965.14,0.17,0.26,2017-04-13
Raphael Silva,Papelaria,988.52,385.31,0.58,0.5,2017-04-13
Caroline Reis,Papelaria,689.35,235.95,0.38,0.41,2017-04-13
Letícia Nascimento,Eletrônicos,1102.82,1935.79,0.09,0.23,2017-04-14
Ana Sousa,Eletrônicos,3995.53,4605.16,0.26,0.18,2017-04-14
Gustavo Martins,Eletrônicos,1922.26,3516.97,0.26,0.2,2017-04-14
Beatriz Santos,Vestuário,4840.97,2649.73,0.13,0.14,2017-04-14
Camila Lima,Vestuário,4206.1,1794.43,0.12,0.17,2017-04-14
Thiago Barbosa,Acessórios,1998.32,1198.01,0.34,0.54,2017-04-14
Letícia Ribeiro,Acessórios,1594.12,1129.68,0.42,0.46,2017-04-14
Enzo Nascimento,Casa,3484.25,1425.38,0.4,0.23,2017-04-14
Guilherme Santos,Casa,1595.03,4064.34,0.15,0.24,2017-04-14
Vitória Ribeiro,Brinquedo,595.5,2777.89,0.35,0.29,2017-04-14
Julia Araújo,Esportes,1788.89,1604.84,0.42,0.3,2017-04-14
Lucas Rodrigues,Esportes,5196.15,2255.2,0.2,0.29,2017-04-14
Thiago Carvalho,Esportes,2133.18,3048.25,0.38,0.3,2017-04-14
Mateus Barbosa,Eletrônicos,5182.75,1488.06,0.31,0.19,2017-04-14
Camila Carvalho,Casa,1408.32,3253.78,0.28,0.3,2017-04-14
Diego Cardoso,Vestuário,3785.18,3112.93,0.24,0.14,2017-04-14
Jorge Santos,Brinquedo,2159.66,3562.13,0.33,0.29,2017-04-14
Raphael Silva,Papelaria,662.8,291.68,0.58,0.41,2017-04-14
Caroline Reis,Papelaria,520.74,472.16,0.38,0.47,2017-04-14
Letícia Nascimento,Eletrônicos,586.16,1691.96,0.19,0.18,2017-04-15
Ana Sousa,Eletrônicos,1348.78,1246.2,0.2,0.22,2017-04-15
Gustavo Martins,Eletrônicos,3304.62,4532.48,0.3,0.24,2017-04-15
Beatriz Santos,Vestuário,1903.48,2221.79,0.2,0.18,2017-04-15
Camila Lima,Vestuário,2076.7,1004.83,0.27,0.17,2017-04-15
Thiago Barbosa,Acessórios,1261.72,633.07,0.46,0.46,2017-04-15
Letícia Ribeiro,Acessórios,2012.26,1266.7,0.5,0.5,2017-04-15
Enzo Nascimento,Casa,5344.98,4325.12,0.33,0.32,2017-04-15
Guilherme Santos,Casa,5701.63,2417.88,0.12,0.31,2017-04-15
Vitória Ribeiro,Brinquedo,3507.14,3029.28,0.31,0.26,2017-04-15
Julia Araújo,Esportes,1964.55,3076.33,0.39,0.3,2017-04-15
Lucas Rodrigues,Esportes,4357.09,5011.93,0.45,0.26,2017-04-15
Thiago Carvalho,Esportes,5542.23,3813.15,0.49,0.31,2017-04-15
Mateus Barbosa,Eletrônicos,3918.32,4443.59,0.21,0.18,2017-04-15
Camila Carvalho,Casa,3337.46,4884.95,0.2,0.25,2017-04-15
Diego Cardoso,Vestuário,4792.94,2677.91,0.15,0.16,2017-04-15
Jorge Santos,Brinquedo,2322.69,3629.2,0.32,0.21,2017-04-15
Raphael Silva,Papelaria,707.07,666.01,0.36,0.38,2017-04-15
Caroline Reis,Papelaria,828.63,758.01,0.4,0.41,2017-04-15
Letícia Nascimento,Eletrônicos,6515.93,4139.0,0.08,0.17,2017-04-16
Ana Sousa,Eletrônicos,4632.13,3089.87,0.24,0.22,2017-04-16
Gustavo Martins,Eletrônicos,1225.7,2548.74,0.25,0.18,2017-04-16
Beatriz Santos,Vestuário,974.45,3460.9,0.17,0.2,2017-04-16
Camila Lima,Vestuário,992.21,1059.26,0.1,0.2,2017-04-16
Thiago Barbosa,Acessórios,600.2,1482.73,0.44,0.52,2017-04-16
Letícia Ribeiro,Acessórios,1388.75,1442.04,0.3,0.46,2017-04-16
Enzo Nascimento,Casa,2995.62,2562.41,0.22,0.29,2017-04-16
Guilherme Santos,Casa,3752.9,4225.77,0.14,0.23,2017-04-16
Vitória Ribeiro,Brinquedo,4159.71,1021.68,0.27,0.3,2017-04-16
Julia Araújo,Esportes,809.84,3337.1,0.13,0.34,2017-04-16
Lucas Rodrigues,Esportes,7058.01,4269.32,0.49,0.33,2017-04-16
Thiago Carvalho,Esportes,2495.95,2974.87,0.27,0.38,2017-04-16
Mateus Barbosa,Eletrônicos,6596.4,4140.65,0.3,0.22,2017-04-16
Camila Carvalho,Casa,3000.97,1640.41,0.23,0.25,2017-04-16
Diego Cardoso,Vestuário,576.86,2133.68,0.22,0.19,2017-04-16
Jorge Santos,Brinquedo,4895.04,1416.59,0.28,0.29,2017-04-16
Raphael Silva,Papelaria,321.82,619.56,0.61,0.43,2017-04-16
Caroline Reis,Papelaria,687.82,595.33,0.43,0.43,2017-04-16
Letícia Nascimento,Eletrônicos,1337.82,4750.25,0.31,0.22,2017-04-17
Ana Sousa,Eletrônicos,227.76,2496.74,0.09,0.22,2017-04-17
Gustavo Martins,Eletrônicos,2229.41,2799.5,0.22,0.19,2017-04-17
Beatriz Santos,Vestuário,3067.2,1119.7,0.16,0.2,2017-04-17
Camila Lima,Vestuário,4613.9,3564.55,0.25,0.2,2017-04-17
Thiago Barbosa,Acessórios,1626.04,752.64,0.32,0.42,2017-04-17
Letícia Ribeiro,Acessórios,1163.32,1086.27,0.72,0.5,2017-04-17
Enzo Nascimento,Casa,1106.63,4746.64,0.21,0.3,2017-04-17
Guilherme Santos,Casa,4288.52,5074.1,0.17,0.26,2017-04-17
Vitória Ribeiro,Brinquedo,724.66,2987.93,0.17,0.22,2017-04-17
Julia Araújo,Esportes,5417.83,3873.01,0.17,0.31,2017-04-17
Lucas Rodrigues,Esportes,5154.67,1924.92,0.49,0.38,2017-04-17
Thiago Carvalho,Esportes,5509.49,2159.47,0.23,0.33,2017-04-17
Mateus Barbosa,Eletrônicos,5935.87,1643.15,0.11,0.2,2017-04-17
Camila Carvalho,Casa,5624.14,1779.86,0.34,0.32,2017-04-17
Diego Cardoso,Vestuário,4618.45,2969.11,0.2,0.18,2017-04-17
Jorge Santos,Brinquedo,2135.86,3152.33,0.32,0.24,2017-04-17
Raphael Silva,Papelaria,713.47,537.14,0.65,0.5,2017-04-17
Caroline Reis,Papelaria,261.43,269.41,0.23,0.38,2017-04-17
Letícia Nascimento,Eletrônicos,4918.97,4573.96,0.26,0.17,2017-04-18
Ana Sousa,Eletrônicos,2502.94,4271.99,0.31,0.21,2017-04-18
Gustavo Martins,Eletrônicos,130.87,1422.78,0.21,0.22,2017-04-18
Beatriz Santos,Vestuário,4852.07,1763.04,0.15,0.19,2017-04-18
Camila Lima,Vestuário,3961.3,2303.33,0.2,0.15,2017-04-18
Thiago Barbosa,Acessórios,893.88,1045.95,0.48,0.42,2017-04-18
Letícia Ribeiro,Acessórios,2076.64,1404.66,0.5,0.5,2017-04-18
Enzo Nascimento,Casa,4687.07,2012.65,0.33,0.31,2017-04-18
Guilherme Santos,Casa,5454.43,3915.3,0.21,0.33,2017-04-18
Vitória Ribeiro,Brinquedo,766.71,3990.55,0.31,0.25,2017-04-18
Julia Araújo,Esportes,5947.38,3230.6,0.4,0.31,2017-04-18
Lucas Rodrigues,Esportes,7017.62,2599.26,0.45,0.29,2017-04-18
Thiago Carvalho,Esportes,5273.26,4460.64,0.4,0.27,2017-04-18
Mateus Barbosa,Eletrônicos,5728.0,1844.47,0.2,0.19,2017-04-18
Camila Carvalho,Casa,7581.98,4168.85,0.39,0.33,2017-04-18
Diego Cardoso,Vestuário,2753.0,1811.01,0.21,0.21,2017-04-18
Jorge Santos,Brinquedo,4191.66,2173.19,0.26,0.23,2017-04-18
Raphael Silva,Papelaria,772.09,317.06,0.65,0.43,2017-04-18
Caroline Reis,Papelaria,161.37,651.36,0.49,0.5,2017-04-18
Letícia Nascimento,Eletrônicos,5626.76,3754.51,0.19,0.18,2017-04-19
Ana Sousa,Eletrônicos,1011.4,3705.44,0.15,0.17,2017-04-19
Gustavo Martins,Eletrônicos,1533.53,3894.18,0.26,0.16,2017-04-19
Beatriz Santos,Vestuário,3618.15,2454.35,0.21,0.21,2017-04-19
Camila Lima,Vestuário,807.36,3466.07,0.16,0.2,2017-04-19
Thiago Barbosa,Acessórios,2040.13,515.26,0.78,0.44,2017-04-19
Letícia Ribeiro,Acessórios,153.34,1576.33,0.6,0.52,2017-04-19
Enzo Nascimento,Casa,7471.14,4033.29,0.24,0.22,2017-04-19
Guilherme Santos,Casa,1960.87,3452.23,0.34,0.33,2017-04-19
Vitória Ribeiro,Brinquedo,3625.1,2126.11,0.31,0.28,2017-04-19
Julia Araújo,Esportes,4752.8,4333.15,0.47,0.35,2017-04-19
Lucas Rodrigues,Esportes,2062.02,3847.47,0.27,0.27,2017-04-19
Thiago Carvalho,Esportes,710.11,3207.96,0.39,0.33,2017-04-19
Mateus Barbosa,Eletrônicos,269.21,3262.74,0.22,0.18,2017-04-19
Camila Carvalho,Casa,5774.92,4736.24,0.17,0.28,2017-04-19
Diego Cardoso,Vestuário,3222.74,2070.87,0.19,0.15,2017-04-19
Jorge Santos,Brinquedo,442.89,3726.64,0.34,0.22,2017-04-19
Raphael Silva,Papelaria,897.9,211.85,0.49,0.45,2017-04-19
Caroline Reis,Papelaria,897.17,493.14,0.47,0.47,2017-04-19
Letícia Nascimento,Eletrônicos,4745.1,4044.24,0.11,0.22,2017-04-20
Ana Sousa,Eletrônicos,6377.62,4431.37,0.12,0.21,2017-04-20
Gustavo Martins,Eletrônicos,1285.99,3197.0,0.27,0.17,2017-04-20
Beatriz Santos,Vestuário,716.05,1456.82,0.1,0.18,2017-04-20
Camila Lima,Vestuário,4228.05,994.52,0.27,0.17,2017-04-20
Thiago Barbosa,Acessórios,825.29,1053.31,0.46,0.58,2017-04-20
Letícia Ribeiro,Acessórios,40.18,760.72,0.76,0.5,2017-04-20
Enzo Nascimento,Casa,6057.98,4168.46,0.25,0.29,2017-04-20
Guilherme Santos,Casa,5394.97,3595.2,0.44,0.26,2017-04-20
Vitória Ribeiro,Brinquedo,3006.33,1629.52,0.13,0.28,2017-04-20
Julia Araújo,Esportes,1794.44,2033.49,0.25,0.36,2017-04-20
Lucas Rodrigues,Esportes,6851.1,3648.36,0.21,0.31,2017-04-20
Thiago Carvalho,Esportes,1032.02,3727.02,0.16,0.3,2017-04-20
Mateus Barbosa,Eletrônicos,2593.94,4453.18,0.18,0.17,2017-04-20
Camila Carvalho,Casa,2061.6,3186.44,0.34,0.28,2017-04-20
Diego Cardoso,Vestuário,432.91,2878.22,0.28,0.19,2017-04-20
Jorge Santos,Brinquedo,1140.19,2116.43,0.3,0.28,2017-04-20
Raphael Silva,Papelaria,673.34,451.81,0.27,0.54,2017-04-20
Caroline Reis,Papelaria,488.32,215.55,0.5,0.38,2017-04-20
Letícia Nascimento,Eletrônicos,927.54,1595.96,0.21,0.17,2017-04-21
Ana Sousa,Eletrônicos,4268.35,2506.15,0.16,0.18,2017-04-21
Gustavo Martins,Eletrônicos,5750.18,2012.76,0.08,0.19,2017-04-21
Beatriz Santos,Vestuário,4798.24,1922.31,0.09,0.2,2017-04-21
Camila Lima,Vestuário,944.06,2866.48,0.13,0.2,2017-04-21
Thiago Barbosa,Acessórios,1097.58,1034.75,0.62,0.58,2017-04-21
Letícia Ribeiro,Acessórios,1231.33,1128.96,0.74,0.44,2017-04-21
Enzo Nascimento,Casa,7295.62,3036.17,0.22,0.3,2017-04-21
Guilherme Santos,Casa,7458.08,3633.07,0.31,0.31,2017-04-21
Vitória Ribeiro,Brinquedo,2675.05,1382.72,0.1,0.25,2017-04-21
Julia Araújo,Esportes,1221.55,1792.84,0.27,0.35,2017-04-21
Lucas Rodrigues,Esportes,501.11,4129.14,0.51,0.35,2017-04-21
Thiago Carvalho,Esportes,1878.76,3673.94,0.4,0.29,2017-04-21
Mateus Barbosa,Eletrônicos,6510.88,4074.49,0.2,0.18,2017-04-21
Camila Carvalho,Casa,3373.9,5355.04,0.4,0.31,2017-04-21
Diego Cardoso,Vestuário,1573.21,3216.38,0.27,0.17,2017-04-21
Jorge Santos,Brinquedo,1788.78,1270.42,0.12,0.27,2017-04-21
Raphael Silva,Papelaria,1040.46,299.07,0.22,0.49,2017-04-21
Caroline Reis,Papelaria,618.49,495.71,0.65,0.54,2017-04-21
Letícia Nascimento,Eletrônicos,2867.41,3031.26,0.26,0.2,2017-04-22
Ana Sousa,Eletrônicos,3457.27,4792.63,0.3,0.22,2017-04-22
Gustavo Martins,Eletrônicos,2747.46,3418.63,0.3,0.22,2017-04-22
Beatriz Santos,Vestuário,3560.81,2797.0,0.22,0.15,2017-04-22
Camila Lima,Vestuário,3681.46,3467.35,0.24,0.2,2017-04-22
Thiago Barbosa,Acessórios,1180.72,1131.03,0.56,0.6,2017-04-22
Letícia Ribeiro,Acessórios,1496.97,1458.32,0.52,0.44,2017-04-22
Enzo Nascimento,Casa,707.92,4925.52,0.28,0.33,2017-04-22
Guilherme Santos,Casa,3335.78,2992.19,0.23,0.23,2017-04-22
Vitória Ribeiro,Brinquedo,5035.84,1749.3,0.26,0.28,2017-04-22
Julia Araújo,Esportes,957.41,2466.79,0.25,0.29,2017-04-22
Lucas Rodrigues,Esportes,5310.94,3518.49,0.22,0.3,2017-04-22
Thiago Carvalho,Esportes,6680.44,3807.6,0.45,0.26,2017-04-22
